Date,Open,High,Low,Close
03-07-2015,308,308,299.75,300.95
06-07-2015,294.9,299.6,292.3,298.75
07-07-2015,300.75,303.25,296,297.45
08-07-2015,293.8,294,282,283.4
09-07-2015,285.2,287.25,279.6,280.55
10-07-2015,282,284.6,279,280.95
13-07-2015,281.9,285.6,279.15,284.45
14-07-2015,285,286.9,281.05,281.7
15-07-2015,283,284.9,279.4,280.7
16-07-2015,285,286.75,280.6,281.5
17-07-2015,282,286.45,280.3,284.3
20-07-2015,285.9,287.7,283.1,284
21-07-2015,284.35,284.5,274,274.65
22-07-2015,272,281,268.5,280.35
23-07-2015,274,274.5,269.8,270.3
24-07-2015,272.9,272.9,264.05,265.1
27-07-2015,265,265,250.75,251.4
28-07-2015,251.25,252.4,246.65,249.35
29-07-2015,251.9,254.65,249.5,250.65
30-07-2015,252.4,252.8,247.7,248.35
31-07-2015,249.5,252.65,245.25,247.3
03-08-2015,247.3,250.7,245.45,248
04-08-2015,249,259.85,246.15,256.4
05-08-2015,260,268.2,259,262.25
06-08-2015,262.25,265.45,256.5,261.3
07-08-2015,261,264.7,260.15,262.05
10-08-2015,263,264.85,260,261.15
11-08-2015,260,260,246,246.9
12-08-2015,254,257.9,246.25,249.1
13-08-2015,252.5,254,232.3,233.6
14-08-2015,234.6,239.1,229.25,237.1
17-08-2015,238.1,248,234.4,246.55
18-08-2015,247.95,254.4,246.85,251.65
19-08-2015,251,253,246.75,249.9
20-08-2015,248.05,248.7,240.75,241.65
21-08-2015,238,238.2,231.6,237.25
24-08-2015,230,230.9,202.7,206.15
25-08-2015,208,218,200.4,214.15
26-08-2015,214,219.6,209.05,215.5
27-08-2015,219,229.25,215.3,225.85
28-08-2015,231.5,234.6,223.5,228.5
31-08-2015,226.75,228.75,223.8,225.05
01-09-2015,221,226.15,213.5,216.2
02-09-2015,218,225.9,210.6,219.65
03-09-2015,223,232.7,221.55,229.65
04-09-2015,228.1,228.65,217.05,218.95
07-09-2015,220.9,223.9,215.1,215.9
08-09-2015,217.2,233,217.2,228.8
09-09-2015,236.2,241.45,232.35,239.25
10-09-2015,237,243,231.7,240.3
11-09-2015,243,243.8,231,233.05
14-09-2015,234.7,242.9,234,241.3
15-09-2015,243.9,243.9,228.2,229.05
16-09-2015,231.5,233.2,227.25,230.2
18-09-2015,233,235.3,228,228.55
21-09-2015,227,229.15,223.3,226.85
22-09-2015,229,229.5,219.2,220
23-09-2015,216,223.95,214,221.1
24-09-2015,220,220.8,214.8,215.4
28-09-2015,217.25,218.45,208.65,209.45
29-09-2015,205.05,206.25,200,201.35
30-09-2015,206.45,213.5,206.05,211.9
01-10-2015,215.95,215.95,210.4,212.15
05-10-2015,215,225.4,214.35,224.5
06-10-2015,227.75,228.8,223.15,227.15
07-10-2015,226.5,237.8,223.55,236.8
08-10-2015,238,242.4,236.3,240.5
09-10-2015,243,251.25,242,250.75
12-10-2015,254.7,261.95,250,251.15
13-10-2015,248.7,248.7,243.55,245.2
14-10-2015,244.25,252.9,244.2,248
15-10-2015,249.9,257.1,248.1,255.3
16-10-2015,255,257,248.45,252.65
19-10-2015,253,254.95,247.15,248.15
20-10-2015,247.7,249.1,240,240.8
21-10-2015,241,246.7,238.25,244.8
23-10-2015,247,251.55,244.3,246.05
26-10-2015,247,251.5,246.35,249.45
27-10-2015,249.45,250.5,244.3,245.95
28-10-2015,245.5,248.5,244.5,247.25
29-10-2015,247.5,251,244.7,247.4
30-10-2015,248,254.75,245.4,246.75
02-11-2015,247.1,247.1,236.3,238.65
03-11-2015,241,242.9,235.1,236.05
04-11-2015,239,239.95,234.1,235.8
05-11-2015,236,236,224.55,225.6
06-11-2015,218.7,221.6,215.25,220.1
09-11-2015,215,224.25,213,222.15
10-11-2015,221.95,222.25,217.05,217.95
11-11-2015,220,221.8,220,220.85
13-11-2015,218.9,223.6,216.85,222.15
16-11-2015,222.25,230.6,220.3,229.8
17-11-2015,232,235.8,231,234.5
18-11-2015,234.5,234.8,225.15,225.85
19-11-2015,228,229.7,225.85,228.9
20-11-2015,229.25,232.4,228,229.7
23-11-2015,230.5,230.9,223.1,224.4
24-11-2015,222.9,226.4,222.2,224.35
26-11-2015,224.6,229.8,224.3,227.9
27-11-2015,229,235,228.05,231.2
30-11-2015,231.8,234.3,228.9,230.05
01-12-2015,230.5,238.65,230.35,237.65
02-12-2015,239.25,245.65,238.15,243.5
03-12-2015,241.9,243.6,237,240.15
04-12-2015,238,244,237.25,240.2
07-12-2015,244,247.3,242.5,243.55
08-12-2015,242.9,243.15,233.8,234.75
09-12-2015,234,235.9,225,226.85
10-12-2015,225.7,234.5,225.7,232.95
11-12-2015,235.6,243.9,235.6,240.9
14-12-2015,239.5,248.75,238.75,245.05
15-12-2015,247,247.6,241.25,244.2
16-12-2015,246.9,248.6,242.35,244.9
17-12-2015,246.2,257.55,246.2,256.55
18-12-2015,257.1,257.9,254.05,255.35
21-12-2015,255.1,261.5,254.75,258.55
22-12-2015,258.55,261.55,256.5,257.2
23-12-2015,262,266.25,262,263.7
24-12-2015,265,266.25,260.8,263.5
28-12-2015,263.5,264,253,254.05
29-12-2015,257,257,253.45,255.15
30-12-2015,257.05,261.75,255.5,258.15
31-12-2015,260,260.55,257.05,259.55
01-01-2016,261,261,254,257.3
04-01-2016,256.45,263.1,253.55,257
05-01-2016,257.5,276.2,257.5,274.1
06-01-2016,273.8,274.45,266.15,268.5
07-01-2016,263.9,263.9,248.3,250.1
08-01-2016,251.95,256.25,249.15,253.7
11-01-2016,248,253.5,244.6,252
12-01-2016,253.6,255.3,243.6,246.35
13-01-2016,248.1,251.7,237.1,247
14-01-2016,235.6,242.5,231.7,238.7
15-01-2016,241.3,243,228.4,229.9
18-01-2016,230,244,225.3,236.25
19-01-2016,237,241.25,231.3,237.95
20-01-2016,234.9,234.9,226.75,231.7
21-01-2016,233.65,239.25,231.4,234.55
22-01-2016,238,250,237.8,247.1
25-01-2016,249,255.9,249,253.85
27-01-2016,255.7,259.95,253.8,257.55
28-01-2016,256.8,258.5,252.55,254.4
29-01-2016,253.5,258.5,247.55,250.05
01-02-2016,251,254.8,246.6,249.4
02-02-2016,250.25,250.5,230,231.5
03-02-2016,227.9,233.85,221.5,224
04-02-2016,224.75,228.5,219.15,226.15
05-02-2016,215,239.1,215,234
08-02-2016,237,243.8,232.8,234.45
09-02-2016,231.2,237.25,230,235.55
10-02-2016,234,237.5,227.4,235.65
11-02-2016,235.55,236,221.2,225
12-02-2016,226.6,227.85,211.3,217.85
15-02-2016,220,247.65,220,246.2
16-02-2016,249,251.45,243.05,244.85
17-02-2016,245.7,252.55,238.1,251.35
18-02-2016,254.2,256.5,243.3,250.5
19-02-2016,249,254.5,246.95,253.25
22-02-2016,254.5,257.4,251.7,255.2
23-02-2016,255.95,261.25,252,253.45
24-02-2016,250.85,253.75,246.75,247.85
25-02-2016,247.85,249.9,244.6,248.05
26-02-2016,250.1,252,243.4,248.4
29-02-2016,246.95,263.5,245.3,249.1
01-03-2016,250,258,246.7,256.9
02-03-2016,260.25,269.3,260,267.15
03-03-2016,271.7,287.7,271.7,286.3
04-03-2016,289,291.2,284.75,288.35
08-03-2016,288.75,296.5,286.4,291.85
09-03-2016,284.8,296.85,281.3,295.45
10-03-2016,296.2,301.15,293.4,296.15
11-03-2016,296,298,290.2,294.45
